;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;;Snapchat peut communiquer vos données personnelles en cas de fusion, de vente des actifs de l’entreprise ou encore en cas d’acquisition de tout ou partie de l’entreprise par une autre entreprise.;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupe LinkedIn;;;« En cas de changement de contrôle ou de vente totale ou partielle de LinkedIn, nous pouvons partager vos données avec une tierce partie » Aucun engagement sur une information préalable;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;;; In some cases, we may choose to buy or sell business assets. In these transactions, user information is typically one of the transferred business assets. Moreover, if we, or substantially all of our assets, were acquired, or if we go out of business or enter bankruptcy, user information would be one of the assets that is transferred or acquired by a third party. You acknowledge that such transfers may occur, and that any acquirer of us or our assets may continue to use your Personal Information as set forth in this policy.;;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;;Information préalable pour la communication des données personnelles à des tiers ou de changement dans la politique de confidentialité en cas de fusion. Possibilité de opt-out en supprimant son compte pour signifier son refus des nouvelles privacy policy durant une période déterminée.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;"""We will not share information about you with outside parties except :
[…]
- In connection with, or during negotiations of, any merger, sale of company assets, financing or acquisition of all or a portion of our business to another company;""";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;;;;Pas d'information;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;;« Dans l'éventualité d'une réorganisation, d'une acquisition ou d'une fusion, nous pouvons être amenés à transférer les informations personnelles au tiers concerné. »;;;;;;;;;;;;;;;;;;;;;;;;;;
Viber ;;"Si la structure de notre entreprise devait évoluer, par le biais d'une fusion, acquisition par une autre société, vente de tout ou partie des activités, les Informations personnelles figureraient probablement parmi les actifs transférés. Dans le cadre d'une telle transaction, la nouvelle entité devra s'engager à assurer le même niveau de protection de vos Informations personnelles que celui décrit dans la présente Politique de confidentialité. Faute d'obtenir cet engagement, la transition n'aura pas lieu.
Préalablement à tout éventuel transfert, nous publierons un avis sur ce Site en cas de changement de propriétaire ou de contrôle des Informations personnelles.";;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;"(dans data policy) ""Nouveau propriétaire.

Si les droits de propriété ou le
contrôle d’une partie ou de l’intégralité de nos services ou de leurs éléments
changent, nous avons la possibilité de communiquer vos informations au nouveau
propriétaire"".";;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;;;"Aucune remarque quant à une information préalable, donc on suppose l’absence d’information :

« Transferts d’activité : nous sommes également susceptibles de transmettre vos informations personnelles à une tierce partie dans le cadre d’une vente ou d’un transfert d’activité de ce site internet à laquelle sont liées les informations, dans quel cas, nous demanderons à tout bénéficiaire de cette vente ou de ce transfert d’accepter de traiter vos informations personnelles conformément à la présente politique de confidentialité. Les garanties prévues dans la présente politique de confidentialité s’appliqueront en intégralité à ce bénéficiaire. »";;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;;« De plus, nous pouvons divulguer vos informations personnelles dans le cadre d'une transaction d'entreprise, comme une fusion ou la vente de nos actifs. »;L’utilisation du verbe « pouvoir » ne semble pas supposer un mécanisme opt-in, mais indique plutôt le libre arbitre de Skype s’agissant du transfert des données personnelles des utilisateurs en cas de fusion. Cette interprétation s’explique par le fait que cette clause figure dans la catégorie « Partage de vos informations » au sein de laquelle lorsqu’un mécanisme d’opt-in est mis en œuvre, il est expressément indiqué (cf. Communication à des tiers).;;;;;;;;;;;;;;;;;;;;;;;;;
Google ;Dans le cas où Google prendrait part à une opération de fusion, d’acquisition ou à toute autre forme de cession d’actifs, nous nous engageons à garantir la confidentialité de vos données personnelles et à vous informer avant que celles-ci ne soient transférées ou soumises à de nouvelles règles de confidentialité.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;;En cas d’une vente ou d’un transfert d’Instagram, les DP peuvent faire parties des éléments vendus ou transférés. La présente politique de confidentialité d’Instagram devra être respectée par l’acheteur ou le bénéficiaire du transfert.;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;;;« (…) en cas de fusion, d’acquisition, de réorganisation, de banqueroute ou d’évènement similaire, vos données personnelles peuvent être transférées au successeur de Blizzard ou à son cessionnaire ».;;;;;;;;;;;;;;;;;;;;;;;;;;
