;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;;"Dans le cadre de la transmission des DP aux prestataires de service, Groupon veille à la protection des DP ""ces destinataires ont conclu des obligations contractuelles strictes afin de garantir la protection de vos données personnelles et pour traiter les données pour notre compte et sous notre contrôle exclusif""";"Dans le cadre de la transmission des DP aux partenaires commerciaux, seule la communication des DP est régie par la charte de protection des données de Groupon : 
« Le traitement et l’utilisation ultérieurs par les partenaires commerciaux des DP obtenus par le Groupe Groupon sont régis par leurs propres chartes et pratiques en matière de DP et échappent à notre contrôle »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;;La société ne s'engage pas à ce que les données communiquées à ses partenaires commerciaux facent l'objet d'une réutilisation dans les mêmes conditions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;;Nous pouvons travailler avec des parties tierces fournisseurs de service (par exemple à des fins d’analyses de données) afin d’utiliser vos informations personnelles en notre nom. Nous pourrons faire ceci afin de faciliter le paiement, envoyer des outils marketing ou à des fins d’analyses marketing. Les parties tierces impliquées dans ces services sont soumises à des accords de confidentialité et ne seront pas autorisées à utiliser vos données personnelles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;;;"Sur les sociétés du Groupe eBay qui réutilisent les informations (après opt in de l'utilisateur) le respect de la règlementation du site eBay reste flou avec l'utilisation du terme ""leur propre Avis"" : 
""Ils utiliseront dans ce cas vos informations personnelles conformément à
 leur propre Avis sur le respect de la vie privée et à nos normes 
internationales en matière de respect de la vie privée.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;;"""Nous pouvons partager vos informations avec d'autres sociétés du groupe 
ASOS ainsi qu'avec des tiers qui fournissent des services pour notre 
compte (par exemple des sociétés de livraisons, les sociétés de 
traitement des paiements ou les sociétés fournissant des prestations 
informatiques). Ces informations ne leur sont fournies que pour leur 
permettre de fournir ces services et ne peuvent être utilisées pour un 
autre objet. Nous exigeons de tout tiers avec qui nous partageons des 
données personnelles de les traiter avec la plus grande confidentialité 
et conformément aux lois applicables.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;;"Pas d'engagement sur la viralité des conditions de réutilisation des données personnelles par les partenaires : ""Nous ne pouvons pas exercer de contrôle sur l'utilisation qui sera faite par nos partenaires. Nous vous conseillons d’examiner la charte de protection de la vie privée de notre partenaire.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;;Il existe une communication de données personnelles et données non personnelles à des tiers. Toutefois, les modalités de viralités des conditions de réutilisation des données personnelles par ces tiers ne sont pas précisées.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;« Nous partageons vos données personnelles avec les prestataires qui fournissent des services en notre nom et ont accepté par écrit de protéger et ne pas divulguer vos informations. »;« Si vous réservez via les Plateformes, nous partageons vos données personnelles avec le prestataire de services de paiement et les vendeurs de voyages avec qui vous avez effectué une réservation. Cela comprend les agences de voyage, hôtels, compagnies aériennes, agences de location de voiture et fournisseurs d’assurance de voyage. Ces tierces parties traiteront vos données personnelles en accord avec leurs propres politiques de confidentialité. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;;"""Apple partage des données personnelles avec des sociétés qui fournissent des services"".Exemple de services : exécution des commandes clients, livraison des produits, réalisation d'enquête de satisfaction... Mais ambiguïté dans la rédaction qui impose le choix de la licence +++. En effet, ""Les sociétés sont obligées de protéger les données personnelles."" Comme Apple est inscrite sur la liste du safe harbor ces sociétés sont tenues de respecter les seules règles légales et non pas les conditions de réutilisation des données personnelles prévues dans les CGU d'Apple. De plus, ""ces sociétés peuvent se trouver dans tout pays dans lequel Apple exerce des activités"" donc protection des données personnelles à géométrie variable en dehors de l'UE et dépend de la législation plus ou moins permissive du pays où sont établies ces sociétés. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;;The DeviantArt Sites contain links to other websites and/or services. This Privacy Policy does not apply to the practices of any companies or individuals that DeviantArt does not control, or any websites and/or services that you link to from the DeviantArt Sites.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
